Start,Duration,IsError
1752967161204240000,110200125,false
1752967161405338000,115202958,false
1752967161606442000,116216584,false
1752967161807568000,117976625,false
1752967162008669000,115681750,false
1752967162209916000,112584125,false
1752967162411596000,111145084,false
1752967162613529000,113411167,false
1752967162814660000,114513583,false
1752967163016141000,108796625,false
1752967163217151000,116697042,false
1752967163417807000,112096417,false
1752967163618862000,109131208,false
1752967163819989000,112735666,false
1752967164020615000,115476334,false
1752967164221741000,110032791,false
1752967164422902000,112782708,false
1752967164624149000,113391458,false
1752967164827803000,110372250,false
1752967165028890000,110103917,false
1752967165229817000,110128875,false
1752967165430939000,110143833,false
1752967165632051000,114198083,false
1752967165833159000,114617166,false
1752967166034274000,108390417,false
1752967166234780000,118448292,false
1752967166435908000,111470291,false
1752967166637088000,112334666,false
1752967166838661000,116297792,false
1752967167039811000,110540875,false
1752967167240963000,111663625,false
1752967167442093000,115807292,false
1752967167642710000,113748375,false
1752967167844088000,112592459,false
1752967168045144000,113290708,false
1752967168246216000,113442084,false
1752967168448754000,110218208,false
1752967168649866000,113071084,false
1752967168849975000,110958000,false
1752967169051056000,111870750,false
1752967169251852000,109746250,false
1752967169452665000,110922875,false
1752967169655418000,108968250,false
1752967169856555000,111377000,false
1752967170057608000,112150167,false
1752967170260575000,114968250,false
1752967170460756000,121275500,false
1752967170661176000,112881459,false
1752967170861256000,111697750,false
1752967171062210000,111919959,false
1752967171263346000,107897875,false
1752967171464462000,109387250,false
1752967171665537000,111038667,false
1752967171866412000,113683167,false
1752967172067577000,114092000,false
1752967172268750000,115385833,false
1752967172469880000,113884583,false
1752967172670558000,110036834,false
1752967172871732000,106587834,false
1752967173074911000,111636708,false
1752967173276307000,111500917,false
1752967173477052000,112776458,false
1752967173678195000,116208125,false
1752967173879295000,112799375,false
1752967174080449000,121229917,false
1752967174283534000,113800958,false
1752967174484094000,112273084,false
1752967174685004000,113924416,false
1752967174885671000,113202292,false
1752967175086761000,109921500,false
1752967175287909000,115017333,false
1752967175489009000,115656542,false
1752967175690097000,113631166,false
1752967175891244000,113169834,false
1752967176092305000,113002792,false
1752967176293474000,111919208,false
1752967176494564000,109607833,false
1752967176695328000,115228417,false
1752967176897289000,112830541,false
