Start,Duration,IsError
1752970599656169000,113532167,false
1752970599857346000,114299875,false
1752970600058498000,113853209,false
1752970600259645000,113737125,false
1752970600460004000,111593250,false
1752970600661141000,113247541,false
1752970600861876000,105071541,false
1752970601062979000,104769542,false
1752970601264014000,111745083,false
1752970601465130000,114689208,false
1752970601665921000,112690666,false
1752970601867100000,116116709,false
1752970602068171000,109696750,false
1752970602269036000,113811792,false
1752970602470141000,124337542,false
1752970602670330000,115451334,false
1752970602871247000,122695458,false
1752970603073372000,115978833,false
1752970603274343000,117672458,false
1752970603474661000,109511500,false
1752970603675717000,104186208,false
1752970603876741000,105379291,false
1752970604077803000,112636458,false
1752970604278851000,105537750,false
1752970604479907000,109306416,false
1752970604680987000,112355333,false
1752970604882164000,116418833,false
1752970605083339000,116407500,false
1752970605284496000,112838541,false
1752970605485635000,112213834,false
1752970605686960000,115971958,false
1752970605888047000,121959042,false
1752970606088696000,116801875,false
1752970606289786000,113948375,false
1752970606490783000,111356292,false
1752970606691921000,111753500,false
1752970606893057000,111288500,false
1752970607094210000,116248917,false
1752970607295298000,114590625,false
1752970607496278000,104506083,false
1752970607697384000,107702791,false
1752970607898105000,103906833,false
1752970608098652000,107996833,false
1752970608301273000,129837708,false
1752970608502350000,110629250,false
1752970608703512000,113950875,false
1752970608904653000,114262167,false
1752970609105778000,112981042,false
1752970609306241000,107643458,false
1752970609507384000,113606875,false
1752970609708403000,107311958,false
1752970609909605000,112900459,false
1752970610110729000,113468792,false
1752970610311073000,109265625,false
1752970610511682000,114139625,false
1752970610712938000,111125750,false
1752970610913485000,107823041,false
1752970611115225000,112925083,false
1752970611316359000,113076458,false
1752970611517502000,110726417,false
1752970611718349000,114866708,false
1752970611919507000,111290084,false
1752970612120258000,118688209,false
1752970612321390000,115937666,false
1752970612522551000,114720208,false
1752970612723620000,108283750,false
1752970612924672000,106289042,false
1752970613125732000,113206208,false
1752970613326920000,106999667,false
1752970613528052000,109837083,false
1752970613729442000,109759000,false
1752970613930547000,110350417,false
1752970614130887000,120630208,false
1752970614331988000,112311167,false
1752970614533152000,112190666,false
1752970614734296000,112993333,false
1752970614934980000,113797333,false
1752970615136092000,112138792,false
1752970615337233000,109063375,false
1752970615538474000,113574166,false
1752970615739412000,110840167,false
1752970615940536000,113220917,false
1752970616141685000,118819292,false
1752970616342892000,113555834,false
1752970616544089000,111733584,false
1752970616744934000,112379125,false
1752970616945438000,118127125,false
1752970617146589000,114028334,false
1752970617347813000,115403375,false
1752970617548637000,111628708,false
1752970617749131000,114462708,false
1752970617950287000,114311833,false
1752970618151516000,106132125,false
1752970618352180000,111493333,false
1752970618553333000,109291167,false
1752970618754461000,115964625,false
1752970618955606000,115374666,false
1752970619156728000,108416042,false
1752970619357841000,110897917,false
1752970619558942000,109159667,false
1752970619760081000,112721500,false
1752970619961168000,110997125,false
1752970620162138000,111337375,false
1752970620362275000,107028792,false
1752970620563332000,106494167,false
1752970620763795000,104337625,false
1752970620964933000,114547500,false
1752970621166091000,118496500,false
1752970621368557000,116924125,false
1752970621569614000,112720959,false
1752970621770654000,113196667,false
1752970621971709000,113714417,false
1752970622172954000,118206667,false
1752970622373276000,113107417,false
1752970622574425000,115044125,false
1752970622775651000,114716916,false
1752970622976756000,111887542,false
1752970623177249000,113472500,false
1752970623383004000,118414917,false
1752970623584074000,114919250,false
1752970623784852000,109467500,false
1752970623986087000,110624333,false
1752970624187180000,114596709,false
1752970624387638000,111809083,false
1752970624588132000,110240625,false
1752970624789165000,105898542,false
1752970624990200000,109478875,false
1752970625191320000,112450708,false
1752970625392372000,117878125,false
1752970625593431000,113083334,false
1752970625794496000,108394417,false
1752970625995118000,113298292,false
1752970626196207000,109668417,false
1752970626397249000,105289667,false
1752970626598288000,111553416,false
1752970626799357000,111442500,false
1752970627000420000,116998250,false
1752970627201494000,113613458,false
1752970627403749000,111946334,false
1752970627604884000,109780666,false
1752970627805941000,113808250,false
1752970628007008000,108534334,false
1752970628207845000,111297959,false
1752970628408893000,120971000,false
1752970628610013000,125443375,false
1752970628810829000,112444583,false
1752970629011870000,108034959,false
1752970629212944000,111148750,false
1752970629413141000,106711333,false
1752970629614204000,110671000,false
1752970629815269000,111459375,false
1752970630016316000,110747458,false
1752970630217390000,113538709,false
1752970630418473000,110541458,false
1752970630619570000,116035750,false
1752970630820619000,112450875,false
1752970631021681000,115300917,false
1752970631222741000,121537708,false
1752970631423840000,115863334,false
1752970631624906000,110623334,false
1752970631825967000,115966500,false
1752970632027020000,110365250,false
1752970632228053000,115823583,false
1752970632428486000,108356083,false
1752970632629556000,109916250,false
1752970632830777000,118993917,false
1752970633031873000,109898625,false
1752970633232991000,118751458,false
1752970633434258000,114185000,false
1752970633635322000,111952500,false
1752970633836979000,114759542,false
1752970634038152000,115735292,false
1752970634239328000,111430583,false
1752970634440469000,113153125,false
1752970634640688000,114214583,false
1752970634840992000,113079292,false
1752970634908740000,146941000,false
1752970634976516000,182756625,false
1752970635043888000,216234209,false
1752970635110679000,266418500,false
1752970635178376000,286400375,false
1752970635246110000,321776958,false
1752970635313854000,355507875,false
1752970635381030000,388686167,false
1752970635448741000,423758292,false
1752970635516543000,458555417,false
1752970635583702000,498748708,false
1752970635651447000,528195042,false
1752970635719155000,561737834,false
1752970635786732000,598576458,false
1752970635854442000,635429833,false
1752970635922214000,670019500,false
1752970635989171000,705255458,false
1752970636056890000,738532834,false
1752970636124681000,776570875,false
1752970636192414000,814635000,false
1752970636259195000,851724625,false
1752970636326925000,885169417,false
1752970636394643000,917957708,false
1752970636462396000,950962917,false
1752970636530171000,985576750,false
1752970636597040000,1020354417,false
1752970636664789000,1058665209,false
1752970636732561000,1088737209,false
1752970636799748000,1127006208,false
1752970636867522000,1162434625,false
1752970636935301000,1190321459,false
1752970637003014000,1222706125,false
1752970637070586000,1262291958,false
1752970637138310000,1294144458,false
1752970637206027000,1328051916,false
1752970637272840000,1360646542,false
1752970637340580000,1399462584,false
1752970637407616000,1431485291,false
1752970637475417000,1467763625,false
1752970637543271000,1500239208,false
1752970637611084000,1536323584,false
1752970637678970000,1570988500,false
1752970637746700000,1616412666,false
1752970637814521000,1653216084,false
1752970637882338000,1686405542,false
1752970637950384000,1717531459,false
1752970638018225000,1753407833,false
1752970638086000000,1790484916,false
1752970638153722000,1830853250,false
1752970638221522000,1862723666,false
1752970638289599000,1896281417,false
1752970638357391000,1929024584,false
1752970638425375000,1961826750,false
1752970638493217000,1999006208,false
1752970638560947000,2030425250,false
1752970638628668000,2066719750,false
1752970638696080000,2099658875,false
1752970638762972000,2135279083,false
1752970638829724000,2174261000,false
1752970638897508000,2209582958,false
1752970638966204000,2241984167,false
1752970639034093000,2278187833,false
1752970639101917000,2312108000,false
1752970639169703000,2349772500,false
1752970639237874000,2383946292,false
1752970639305191000,2417836875,false
1752970639373023000,2449073292,false
1752970639440928000,2489840166,false
1752970639510176000,2520945667,false
1752970639578060000,2555005875,false
1752970639645770000,2587819125,false
1752970639714986000,2621884834,false
1752970639782589000,2652703625,false
1752970639850924000,2686084958,false
1752970639919612000,2718385917,false
1752970642086822000,637811833,true
1752970639986650000,2752127500,false
1752970640054534000,2785177083,false
